date,county,state,cases,deaths,type,SAH
2020-02-06,Dane,Wisconsin,1,0,Stay at home,0
2020-02-07,Maricopa,Arizona,1,0,Stay at home,0
2020-02-07,Los Angeles,California,1,0,Stay at home,0
2020-02-07,Orange,California,1,0,Stay at home,0
2020-02-07,San Francisco,California,2,0,Stay at home,0
2020-02-07,Santa Clara,California,2,0,Stay at home,0
2020-02-07,Cook,Illinois,2,0,Stay at home,0
2020-02-07,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-07,Snohomish,Washington,1,0,Stay at home,0
2020-02-07,Dane,Wisconsin,1,0,Stay at home,0
2020-02-08,Maricopa,Arizona,1,0,Stay at home,0
2020-02-08,Los Angeles,California,1,0,Stay at home,0
2020-02-08,Orange,California,1,0,Stay at home,0
2020-02-08,San Francisco,California,2,0,Stay at home,0
2020-02-08,Santa Clara,California,2,0,Stay at home,0
2020-02-08,Cook,Illinois,2,0,Stay at home,0
2020-02-08,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-08,Snohomish,Washington,1,0,Stay at home,0
2020-02-08,Dane,Wisconsin,1,0,Stay at home,0
2020-02-09,Maricopa,Arizona,1,0,Stay at home,0
2020-02-09,Los Angeles,California,1,0,Stay at home,0
2020-02-09,Orange,California,1,0,Stay at home,0
2020-02-09,San Francisco,California,2,0,Stay at home,0
2020-02-09,Santa Clara,California,2,0,Stay at home,0
2020-02-09,Cook,Illinois,2,0,Stay at home,0
2020-02-09,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-09,Snohomish,Washington,1,0,Stay at home,0
2020-02-09,Dane,Wisconsin,1,0,Stay at home,0
2020-02-10,Maricopa,Arizona,1,0,Stay at home,0
2020-02-10,Los Angeles,California,1,0,Stay at home,0
2020-02-10,Orange,California,1,0,Stay at home,0
2020-02-10,San Diego,California,1,0,Stay at home,0
2020-02-10,San Francisco,California,2,0,Stay at home,0
2020-02-10,Santa Clara,California,2,0,Stay at home,0
2020-02-10,Cook,Illinois,2,0,Stay at home,0
2020-02-10,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-10,Snohomish,Washington,1,0,Stay at home,0
2020-02-10,Dane,Wisconsin,1,0,Stay at home,0
2020-02-11,Maricopa,Arizona,1,0,Stay at home,0
2020-02-11,Los Angeles,California,1,0,Stay at home,0
2020-02-11,Orange,California,1,0,Stay at home,0
2020-02-11,San Diego,California,1,0,Stay at home,0
2020-02-11,San Francisco,California,2,0,Stay at home,0
2020-02-11,Santa Clara,California,2,0,Stay at home,0
2020-02-11,Cook,Illinois,2,0,Stay at home,0
2020-02-11,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-11,Snohomish,Washington,1,0,Stay at home,0
2020-02-11,Dane,Wisconsin,1,0,Stay at home,0
2020-02-12,Maricopa,Arizona,1,0,Stay at home,0
2020-02-12,Los Angeles,California,1,0,Stay at home,0
2020-02-12,Orange,California,1,0,Stay at home,0
2020-02-12,San Diego,California,1,0,Stay at home,0
2020-02-12,San Francisco,California,2,0,Stay at home,0
2020-02-12,Santa Clara,California,2,0,Stay at home,0
2020-02-12,Cook,Illinois,2,0,Stay at home,0
2020-02-12,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-12,Bexar,Texas,1,0,Stay at home,0
2020-02-12,Bexar,Texas,1,0,Stay at home,0
2020-02-12,Snohomish,Washington,1,0,Stay at home,0
2020-02-12,Dane,Wisconsin,1,0,Stay at home,0
2020-02-13,Maricopa,Arizona,1,0,Stay at home,0
2020-02-13,Los Angeles,California,1,0,Stay at home,0
2020-02-13,Orange,California,1,0,Stay at home,0
2020-02-13,San Diego,California,1,0,Stay at home,0
2020-02-13,San Francisco,California,2,0,Stay at home,0
2020-02-13,Santa Clara,California,2,0,Stay at home,0
2020-02-13,Cook,Illinois,2,0,Stay at home,0
2020-02-13,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-13,Bexar,Texas,2,0,Stay at home,0
2020-02-13,Bexar,Texas,2,0,Stay at home,0
2020-02-13,Snohomish,Washington,1,0,Stay at home,0
2020-02-13,Dane,Wisconsin,1,0,Stay at home,0
2020-02-14,Maricopa,Arizona,1,0,Stay at home,0
2020-02-14,Los Angeles,California,1,0,Stay at home,0
2020-02-14,Orange,California,1,0,Stay at home,0
2020-02-14,San Diego,California,1,0,Stay at home,0
2020-02-14,San Francisco,California,2,0,Stay at home,0
2020-02-14,Santa Clara,California,2,0,Stay at home,0
2020-02-14,Cook,Illinois,2,0,Stay at home,0
2020-02-14,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-14,Bexar,Texas,2,0,Stay at home,0
2020-02-14,Bexar,Texas,2,0,Stay at home,0
2020-02-14,Snohomish,Washington,1,0,Stay at home,0
2020-02-14,Dane,Wisconsin,1,0,Stay at home,0
2020-02-15,Maricopa,Arizona,1,0,Stay at home,0
2020-02-15,Los Angeles,California,1,0,Stay at home,0
2020-02-15,Orange,California,1,0,Stay at home,0
2020-02-15,San Diego,California,1,0,Stay at home,0
2020-02-15,San Francisco,California,2,0,Stay at home,0
2020-02-15,Santa Clara,California,2,0,Stay at home,0
